,enzyme,index_source,index_target
0,A6FUCT,0,2
1,B4GALT,0,3
2,GNTIV,0,4
3,GNTII,0,5
4,B4GALT,2,8
5,GNTIV,2,9
6,GNTII,2,10
7,A6SIAT,3,7
8,A3SIAT,3,17
9,IGNT,3,18
10,A6FUCT,4,9
11,B4GALT,4,11
12,B4GALT,4,12
13,GNTII,4,14
14,A6FUCT,5,10
15,B4GALT,5,13
16,GNTIV,5,14
17,B4GALT,5,15
18,GNTV,5,16
19,MANII,6,1
20,A6FUCT,6,19
21,A6SIAT,8,20
22,A3SIAT,8,40
23,IGNT,8,45
24,B4GALT,9,25
25,B4GALT,9,26
26,GNTII,9,28
27,B4GALT,10,27
28,GNTIV,10,28
29,B4GALT,10,29
30,GNTV,10,30
31,A6SIAT,11,21
32,B4GALT,11,31
33,A3SIAT,11,41
34,IGNT,11,49
35,A6SIAT,12,22
36,B4GALT,12,31
37,A3SIAT,12,42
38,A6SIAT,13,23
39,B4GALT,13,34
40,GNTV,13,36
41,A3SIAT,13,43
42,IGNT,13,47
43,A6FUCT,14,28
44,B4GALT,14,32
45,B4GALT,14,33
46,B4GALT,14,35
47,GNTV,14,37
48,A6SIAT,15,24
49,B4GALT,15,34
50,A3SIAT,15,44
51,IGNT,15,48
52,B4GALT,16,36
53,B4GALT,16,38
54,B4GALT,16,39
55,B4GALT,18,46
56,B4GALT,21,54
57,B4GALT,22,55
58,B4GALT,23,58
59,GNTV,23,61
60,B4GALT,24,59
61,A6SIAT,25,50
62,B4GALT,25,63
63,A3SIAT,25,83
64,IGNT,25,107
65,A6SIAT,26,51
66,B4GALT,26,63
67,A3SIAT,26,84
68,A6SIAT,27,52
69,B4GALT,27,66
70,GNTV,27,68
71,A3SIAT,27,85
72,IGNT,27,99
73,B4GALT,28,64
74,B4GALT,28,65
75,B4GALT,28,67
76,GNTV,28,69
77,A6SIAT,29,53
78,B4GALT,29,66
79,A3SIAT,29,86
80,IGNT,29,100
81,B4GALT,30,68
82,B4GALT,30,70
83,B4GALT,30,71
84,A6SIAT,31,54
85,A6SIAT,31,55
86,A3SIAT,31,87
87,A3SIAT,31,88
88,IGNT,31,109
89,A6SIAT,32,56
90,B4GALT,32,72
91,B4GALT,32,73
92,GNTV,32,75
93,A3SIAT,32,89
94,A6SIAT,33,57
95,B4GALT,33,72
96,B4GALT,33,74
97,GNTV,33,76
98,A3SIAT,33,90
99,A6SIAT,34,58
100,A6SIAT,34,59
101,A3SIAT,34,91
102,A3SIAT,34,92
103,IGNT,34,103
104,IGNT,34,104
105,A6SIAT,35,60
106,B4GALT,35,73
107,B4GALT,35,74
108,A3SIAT,35,93
109,A6SIAT,36,61
110,B4GALT,36,77
111,B4GALT,36,79
112,A3SIAT,36,94
113,B4GALT,37,75
114,B4GALT,37,76
115,B4GALT,37,78
116,B4GALT,37,80
117,A6SIAT,38,62
118,B4GALT,38,77
119,B4GALT,38,81
120,A3SIAT,38,95
121,B4GALT,39,79
122,B4GALT,39,81
123,IGNT,39,82
124,A3SIAT,39,96
125,A6SIAT,39,97
126,B4GALT,41,87
127,B4GALT,42,88
128,B4GALT,43,91
129,GNTV,43,94
130,B4GALT,44,92
131,B4GALT,45,98
132,IGNT,46,101
133,A3SIAT,46,106
134,B4GALT,47,102
135,B4GALT,47,103
136,B4GALT,48,104
137,B4GALT,48,105
138,B4GALT,49,108
139,B4GALT,49,109
140,B4GALT,50,112
141,B4GALT,51,113
142,B4GALT,52,116
143,GNTV,52,119
144,B4GALT,53,117
145,A6SIAT,54,110
146,A6SIAT,55,110
147,B4GALT,56,121
148,B4GALT,56,123
149,GNTV,56,127
150,B4GALT,57,122
151,B4GALT,57,124
152,GNTV,57,128
153,A6SIAT,58,111
154,A6SIAT,59,111
155,B4GALT,60,125
156,B4GALT,60,126
157,B4GALT,61,129
158,B4GALT,61,132
159,B4GALT,62,130
160,B4GALT,62,133
161,A6SIAT,63,112
162,A6SIAT,63,113
163,A3SIAT,63,159
164,A3SIAT,63,160
165,IGNT,63,204
166,A6SIAT,64,114
167,B4GALT,64,134
168,B4GALT,64,135
169,GNTV,64,137
170,A3SIAT,64,161
171,A6SIAT,65,115
172,B4GALT,65,134
173,B4GALT,65,136
174,GNTV,65,138
175,A3SIAT,65,162
176,A6SIAT,66,116
177,A6SIAT,66,117
178,A3SIAT,66,163
179,A3SIAT,66,164
180,IGNT,66,192
181,IGNT,66,193
182,A6SIAT,67,118
183,B4GALT,67,135
184,B4GALT,67,136
185,A3SIAT,67,165
186,A6SIAT,68,119
187,B4GALT,68,139
188,B4GALT,68,141
189,A3SIAT,68,166
190,B4GALT,69,137
191,B4GALT,69,138
192,B4GALT,69,140
193,B4GALT,69,142
194,A6SIAT,70,120
195,B4GALT,70,139
196,B4GALT,70,143
197,A3SIAT,70,167
198,B4GALT,71,141
199,B4GALT,71,143
200,IGNT,71,144
201,A3SIAT,71,181
202,A6SIAT,71,186
203,A6SIAT,72,121
204,A6SIAT,72,122
205,B4GALT,72,145
206,GNTV,72,146
207,A3SIAT,72,168
208,A3SIAT,72,169
209,A6SIAT,73,123
210,A6SIAT,73,125
211,B4GALT,73,145
212,A3SIAT,73,170
213,A3SIAT,73,172
214,A6SIAT,74,124
215,A6SIAT,74,126
216,B4GALT,74,145
217,A3SIAT,74,171
218,A3SIAT,74,173
219,A6SIAT,75,127
220,B4GALT,75,146
221,B4GALT,75,147
222,B4GALT,75,149
223,A3SIAT,75,174
224,A6SIAT,76,128
225,B4GALT,76,146
226,B4GALT,76,148
227,B4GALT,76,150
228,A3SIAT,76,175
229,A6SIAT,77,129
230,A6SIAT,77,130
231,B4GALT,77,151
232,A3SIAT,77,176
233,A3SIAT,77,177
234,A6SIAT,78,131
235,B4GALT,78,147
236,B4GALT,78,148
237,B4GALT,78,152
238,A3SIAT,78,178
239,A6SIAT,79,132
240,B4GALT,79,151
241,IGNT,79,153
242,A3SIAT,79,179
243,A3SIAT,79,182
244,A6SIAT,79,185
245,B4GALT,80,149
246,B4GALT,80,150
247,B4GALT,80,152
248,IGNT,80,154
249,A3SIAT,80,183
250,A6SIAT,80,187
251,A6SIAT,81,133
